HeartRate_mean,HeartRate_std,HeartRate_min,HeartRate_max,HeartRate_median,HeartRate_count,HeartRate_skew,HeartRate_kurtosis,HeartRateVariabilitySDNN_mean,HeartRateVariabilitySDNN_min,HeartRateVariabilitySDNN_max,HeartRateVariabilitySDNN_std,HeartRateVariabilitySDNN_median,OxygenSaturation_mean,OxygenSaturation_std,OxygenSaturation_min,OxygenSaturation_max,OxygenSaturation_median,RespiratoryRate_mean,RespiratoryRate_std,RespiratoryRate_min,RespiratoryRate_max,RespiratoryRate_median,sleep_bedrestDuration_day_median,sleep_bedrestDuration_day_min,sleep_bedrestDuration_day_max,sleep_bedrestDuration_day_std,sleep_sleepDuration_day_median,sleep_sleepDuration_day_min,sleep_sleepDuration_day_max,sleep_sleepDuration_day_std,sleep_sleepEfficiency_day_median,sleep_sleepEfficiency_day_min,sleep_sleepEfficiency_day_max,sleep_sleepEfficiency_day_std,sleep_sleepOnsetLatency_day_median,sleep_sleepOnsetLatency_day_min,sleep_sleepOnsetLatency_day_max,sleep_sleepOnsetLatency_day_std,sleep_sleepHR_day_median,sleep_sleepHR_day_min,sleep_sleepHR_day_max,sleep_sleepHR_day_std,sleep_sleepHRV_day_median,sleep_sleepHRV_day_min,sleep_sleepHRV_day_max,sleep_sleepHRV_day_std,sleep_sleep_day_count,sleep_bedrest_day_count,AppleExerciseTime_count,AppleExerciseTime_duration,ActiveEnergyBurned_sum,ActiveEnergyBurned_count,ActiveEnergyBurned_duration,StepCount_sum,StepCount_count,StepCount_duration
69.162766,10.319015,55.0,107.0,67.0,167.0,1.0537132,1.2996691,0.029705504,0.010402471,0.070551716,0.0114594335,0.028197607,0.95841837,0.014583512,0.91,1.0,0.96,14.55,1.5348809,11.0,19.0,14.0,8.3419695,7.7977357,8.696667,0.35897416,6.008333,4.508333,7.0416665,0.8015445,0.75251,0.54043996,0.83785003,0.098581366,1.0051084,0.38338307,1.76882,0.5272153,59.0,57.12934,59.0,0.7482289,0.03040264,0.026268626,0.052662157,0.008972913,7.0,7.0,218.0,3.6333334,20061284.0,6182.0,74.2045,54791.0,958.0,21.492767
68.37757,10.58309,52.0,103.0,67.0,165.0,1.0487794,1.2352664,0.027714534,0.011265344,0.09423694,0.014183722,0.023795823,0.9675735,0.016806463,0.92,1.0,0.965,15.216911,1.3582971,10.5,19.0,15.0,9.745202,8.0554,10.793518,0.92917764,7.7,5.5583334,8.783334,1.0655671,0.79581934,0.57036614,0.87870055,0.10678318,1.0291544,0.11749944,4.0035357,1.4392229,58.0,54.0,62.5,2.9215944,0.029302642,0.022096802,0.035892513,0.005156168,7.0,7.0,113.0,1.8833333,8134093.5,4542.0,54.086224,41181.0,732.0,15.300215
71.18464,14.813567,52.0,135.0,70.0,167.0,1.7686726,4.6039267,0.029989954,0.009542486,0.07913057,0.013311199,0.027205532,0.95625,0.019496297,0.88,0.99,0.96,14.2890625,1.3709129,12.75,19.5,14.0,8.273171,7.684834,8.586905,0.32280478,6.325,5.3416667,7.125,0.6892504,0.73658675,0.66582173,0.9271508,0.09103676,0.9982217,0.2368475,1.986977,0.7004887,58.0,53.0,60.0,2.3401263,0.030306427,0.018629212,0.03850779,0.0066980133,7.0,7.0,258.0,4.3,24978522.0,7721.0,81.76549,66312.0,1078.0,27.589607
70.93872,14.036375,55.0,127.0,69.0,169.0,2.047032,4.8790703,0.039479464,0.0145735955,0.09244582,0.014571715,0.038656127,0.96455556,0.033706997,0.88,1.0,0.98,14.83642,1.4540678,13.0,19.0,14.5,9.499334,8.306664,12.359328,1.5067033,6.925,0.0,9.583333,3.102694,0.77593887,0.7213036,0.80362684,0.028686233,1.9469353,0.3092539,2.328129,0.73470443,60.0,58.0,61.0,0.9831921,0.045551706,0.030858764,0.060651675,0.010318016,7.0,6.0,286.0,4.766667,7842514.5,22398.0,56.49525,59776.0,1268.0,25.57174
75.90327,14.3577,54.0,134.0,74.5,168.0,0.9827218,1.2973331,0.02690207,0.008558199,0.08800267,0.01192306,0.024295589,0.9571287,0.018551907,0.91,1.0,0.96,14.932836,1.3067294,13.25,20.0,14.5,8.6725,7.9425,9.5001745,0.56757444,6.7166667,5.616667,7.975,0.7466083,0.75647885,0.6823079,0.91949326,0.07735994,1.1671137,0.6342722,1.414547,0.3168089,63.0,55.361267,64.0,3.1357827,0.02452175,0.02133134,0.03845091,0.0060594208,7.0,7.0,271.0,4.516667,21228612.0,5821.0,72.24953,60282.0,968.0,24.259632
69.210724,9.796878,52.0,95.0,69.0,165.0,0.22729106,-0.5946854,0.028731262,0.009434579,0.08193216,0.013355264,0.026733873,0.9645946,0.019667732,0.9,1.0,0.965,16.984177,2.5045924,11.5,27.0,16.0,10.084187,9.4196825,11.106336,0.6893753,8.941667,5.4583335,9.875,1.5195366,0.88555497,0.57602715,0.9263679,0.13679975,1.0639131,0.28075472,2.1981752,0.6748546,59.0,54.0,80.0,9.34523,0.032482456,0.014965559,0.03799555,0.009125944,7.0,7.0,48.0,0.8,5282191.0,4719.0,47.954628,20431.0,549.0,9.014611
65.52299,12.14621,53.0,135.0,63.74974,154.0,3.15136,12.790795,0.053549174,0.021411015,0.1618419,0.028362868,0.046012226,0.96591395,0.015861942,0.92,1.0,0.965,15.329545,1.5757532,10.75,20.5,15.0,8.536172,7.6539235,9.842593,0.7298549,7.1541667,6.4333334,8.208333,0.625509,0.7934959,0.75574934,0.9602918,0.095949836,0.18181111,0.112256944,0.8855894,0.32214555,57.0,55.0,59.0,1.8849081,0.04142241,0.035765402,0.063371874,0.010172397,6.0,6.0,292.0,4.866667,20918850.0,11750.0,61.584084,40349.0,303.0,22.055752
71.079994,12.89876,52.0,128.0,71.0,334.0,1.3433603,2.8772998,0.03083628,0.008997891,0.1595593,0.017035482,0.026971169,0.95733696,0.017585872,0.86,1.0,0.96,14.973684,1.6469276,10.0,20.25,14.5,8.491613,7.6391587,9.39778,0.6182567,6.3,5.2833333,7.725,0.78398895,0.7537155,0.57296944,0.95243835,0.100423664,1.1031482,0.1097825,2.3863544,0.6994068,58.5,52.011494,63.0,2.8041763,0.02856866,0.020641295,0.053410847,0.0105911065,14.0,14.0,523.0,8.716666,43768940.0,19192.0,151.92427,118232.0,1830.0,47.215805
66.518326,11.316817,49.0,159.0,66.0,328.0,2.082227,13.017758,0.032621033,0.010393919,0.11047015,0.014640008,0.029314414,0.97475,0.016252559,0.93,1.0,0.975,15.698582,1.236541,12.5,20.0,15.5,8.787806,6.9153004,10.967309,1.2143077,7.570833,4.775,9.616667,1.3988129,0.8823931,0.535141,0.97672164,0.13212067,0.8091794,0.0,4.0395484,1.1915437,55.0,52.0,63.0,3.11435,0.033462234,0.016538117,0.049143713,0.008429726,14.0,14.0,160.0,2.6666667,18579580.0,11098.0,129.50946,79725.0,2217.0,37.35057
78.393974,14.209344,58.0,136.0,76.5,149.0,1.6981982,3.9801989,0.060743447,0.0151086515,0.10626182,0.026586663,0.056403305,0.9488356,0.020657938,0.89,0.99,0.95,18.116379,2.8830326,14.5,27.5,17.25,7.384355,6.290016,9.091666,0.8662235,6.8,3.7,8.066667,1.576447,0.93013483,0.5010593,0.97444355,0.18027088,0.12269556,0.0,3.6176887,1.4428521,70.75,64.0,80.0,6.3120255,0.08008233,0.049135786,0.09824842,0.018178046,6.0,7.0,278.0,4.633333,17404716.0,6864.0,58.57803,35722.0,376.0,24.327484
